Mobile;Radio Call Sign;Date;Latitude;Longitude;Heading;Speed
DON HECTOR I (ART);CB4815;14/03/2019 00:30:00;-39.874;-73.384;24;0
SKORPION II (ART);CA5506;14/03/2019 00:30:00;-33.584;-71.614;40;0
JOSE SEBASTIAN (ART);CB9898;14/03/2019 00:30:00;-37.026;-73.155;240;0
LUIS DAVID C (L/B);CA7547;14/03/2019 00:30:00;-39.833;-73.742;22;7.503
RICARDO JESUS (ART);CA4197;14/03/2019 00:30:00;-37.028;-73.16;65;0
RAQUEL I (ART);CB8952;14/03/2019 00:30:00;-28.078;-71.147;304;0
DOÑA AMANDA (L/B);CA3232;14/03/2019 00:30:00;-40.156;-75.6;15;0
DON JUAN (ART-TRP);CB9510;14/03/2019 00:30:00;-45.165;-73.524;184;0
ALBERTO M (ART);CA6190;14/03/2019 00:30:00;-39.873;-73.383;3;0
DON BENITO II (ART);CB8981;14/03/2019 00:30:00;-28.079;-71.146;11;0
DEMETRIO II (L/B);CB5911;14/03/2019 00:30:00;-39.166;-75.454;344;0
PLEBEYO (L/B);CB4489;14/03/2019 00:30:00;-37.601;-73.658;317;0
BENJAMIN S (L/B);CA4192;14/03/2019 00:30:00;-37.6;-73.661;19;0
XIMENA I (ART);CB8566;14/03/2019 00:30:00;-37.027;-73.154;0;0
DON GERMAN I (ART);CB6824;14/03/2019 00:30:00;-33.037;-71.628;229;0
TOME (ART);CB2711;14/03/2019 00:30:00;-36.62;-72.96;335;0
MARIA M (L/B);CA7195;14/03/2019 00:30:00;-39.898;-75.713;166;0.505
JUAN BAUTISTA (L/B);CA2297;14/03/2019 00:30:00;-42.312;-74.345;6;6.492
KIMY II (ART);CB7690;14/03/2019 00:30:00;-36.726;-73.131;8;0
DON ULMES (ART);CA3763;14/03/2019 00:30:00;-39.884;-73.427;249;0
ORKA (ART);CB8648;14/03/2019 00:30:00;-39.873;-73.383;3;0
DONCELLA II (ART);CB9807;14/03/2019 00:30:00;-36.715;-73.107;353;0
DON ENZO (ART);CB3484;14/03/2019 00:30:00;-33.585;-71.615;11;0
MARIA PABLA (ART);CA3916;14/03/2019 00:30:00;-29.968;-71.354;140;0
GAROTA III (ART);CA4493;14/03/2019 00:30:00;-29.968;-71.355;140;0
GAROTA IV (ART);CA5832;14/03/2019 00:30:00;-29.969;-71.354;44;0
GAROTA (ART);CB8360;14/03/2019 00:30:00;-29.969;-71.354;276;0
LUIS ALBERTO (L/B);CA4276;14/03/2019 00:30:00;-39.932;-75.671;35;0
NATALIA II (ART);CA2795;14/03/2019 00:30:00;-41.375;-73.849;161;2.508
CONSTITUCION (ART);CB8064;14/03/2019 00:30:00;-39.874;-73.384;327;0
EL CHONO (ART);CB8218;14/03/2019 00:30:00;-45.631;-73.287;71;0
PUNTA MAULE II (ART);CA2323;14/03/2019 00:30:00;-37.026;-73.155;0;0
DON JORGE M (ART);CB4880;14/03/2019 00:30:00;-39.813;-73.232;234;0
MARJUXI IV (L/B);CB8222;14/03/2019 00:30:00;-46.613;-75.461;7;0
EL CHILE (ART);CA3725;14/03/2019 00:30:00;-33.584;-71.615;7;0
DON RAFAEL (ART);CB8339;14/03/2019 00:30:00;-33.584;-71.615;156;0
JAQUELINE (ART);CB2456;14/03/2019 00:30:00;-37.604;-73.65;192;0
DON CORLEONE (ART);CA6425;14/03/2019 00:30:00;-42.563;-72.498;173;0
TRINIDAD (ART);CB8949;14/03/2019 00:30:00;-27.125;-70.914;334;0
LUIS ALFONSO I (L/B);CA5065;14/03/2019 00:30:00;-40.054;-75.74;353;0
ISAAC (ART);CB8039;14/03/2019 00:29:58;-36.7261;-73.1319;0;0
DON LUIS ALBERTO II (ART);CA3864;14/03/2019 00:29:54;-37.0973;-73.1645;133;0.194
DIEGO ARMANDO II (L/B);CA7582;14/03/2019 00:29:48;-39.934;-75.579;257;8.009
DIEGO ARMANDO II (L/B);CA7582;14/03/2019 00:29:47;-39.932;-75.572;0;0
POLACO I (ART-TRP);CA5779;14/03/2019 00:29:45;-53.097;-70.873;359;0
RIO JORDAN X (ART);CA7673;14/03/2019 00:29:30;-37.0978;-73.1647;146;0
GALILEA I (ART);CA3627;14/03/2019 00:29:10;-37.0262;-73.158;69;0.292
DON ALEX (L/B);CB4472;14/03/2019 00:29:02;-45.715;-75.6528;111;2.002
JACKIE (L/B);CB4098;14/03/2019 00:29:00;-41.4929;-72.9851;0;0
MARCO POLO (ART);CB2247;14/03/2019 00:29:00;-36.711667;-73.113056;0;0
CAMPARI III (ART);CB9578;14/03/2019 00:29:00;-41.5025;-72.990833;0;0
TOTO (ART);CA2459;14/03/2019 00:29:00;-41.764167;-73.129167;0;0
TURIMAR II (ART);CB7028;14/03/2019 00:29:00;-36.641944;-73.090278;0;0
OCEANI III (ART);CB2594;14/03/2019 00:29:00;-41.773611;-73.3775;76;4.51
ORION IV (ART);CA3426;14/03/2019 00:29:00;-42.364444;-73.571111;236;2.896
DOÑA GLADYS II (ART);CA3307;14/03/2019 00:29:00;-37.025278;-73.155556;223;0
DON ISAAC (ART);CA3231;14/03/2019 00:29:00;-41.764444;-73.128056;224;0
CRISTINA (ART);CB7787;14/03/2019 00:29:00;-36.669167;-73.0075;37;0
ANA MARIA (ART);CA2598;14/03/2019 00:29:00;-37.218056;-73.439722;189;0
EL BELA (ART);CB8059;14/03/2019 00:28:57;-37.0974;-73.167;41;0.7
PETROHUE III (ART);CB8757;14/03/2019 00:28:48;-18.4723;-70.3211;0;0
ARKHOS II (ART);CB6995;14/03/2019 00:28:35;-18.4716;-70.3224;0;0
ARKHOS I (ART);CB8235;14/03/2019 00:28:35;-18.4716;-70.3223;351;0.505
DON LUCHO (ART);CB9555;14/03/2019 00:28:27;-18.4716;-70.3231;3;0.505
ABEL (ART);CA3747;14/03/2019 00:28:24;-18.4723;-70.3234;2;0
PAOLA I (ART);CA3182;14/03/2019 00:28:22;-37.097;-73.1661;335;0.194
DON FRUCTUOSO (ART);CB7433;14/03/2019 00:28:19;-18.4727;-70.3217;0;0
SARITA ELVIRA (ART);CB4283;14/03/2019 00:28:19;-42.7347;-74.8483;31;0.7
CHANGO (ART);CA2065;14/03/2019 00:28:15;-36.712;-73.1122;0;0
JOSUE (ART);CB6783;14/03/2019 00:28:07;-36.726;-73.1319;0;0
SUSANA (ART);CB7903;14/03/2019 00:28:04;-36.7274;-73.1319;63;0.194
HALCON I (ART);CA5204;14/03/2019 00:28:00;-36.7175;-73.026111;16;8.397
DON MATEO (ART);CA2746;14/03/2019 00:28:00;-37.026389;-73.156667;24;0
SANTIAGO (ART);CB8541;14/03/2019 00:27:50;-18.4711;-70.3227;8;0
MARIA ISABEL (ART);CB4425;14/03/2019 00:27:43;-36.7262;-73.1321;356;0.505
ISAURA I (ART);CA2650;14/03/2019 00:27:42;-18.473;-70.3215;0;0
EBENEZER II (ART);CB8449;14/03/2019 00:27:36;-39.8736;-73.3833;0;0
GREISIS NICOL II (ART);CA2615;14/03/2019 00:27:36;-53.1069;-74.2785;341;0
XOLOT (ART);CB8110;14/03/2019 00:27:36;-28.2931;-71.1859;272;0.505
UZIEL II (ART);CB7875;14/03/2019 00:27:34;-36.5299;-72.9562;0;0
MARJUXI III (L/B);CA3844;14/03/2019 00:27:31;-46.044;-75.542;221;3.499
CAROLINA I (L/B);CB4336;14/03/2019 00:27:14;-39.9915;-75.6515;204;1.594
JOYA DEL PACIFICO (L/B);CB3632;14/03/2019 00:27:13;-33.5332;-72.1148;48;4.51
FRAPOLI (L/B);CB3805;14/03/2019 00:27:00;-46.3265;-75.4867;104;0.991
SUSANA III (ART);CA4166;14/03/2019 00:27:00;-39.480278;-75.941389;356;2.896
YOLIH (ART);CB2504;14/03/2019 00:27:00;-36.7125;-73.008333;182;5.695
DON DEMETRIO III (ART);CB8555;14/03/2019 00:27:00;-37.098056;-73.165556;350;0
CANDELARIA II (ART);CA4249;14/03/2019 00:27:00;-28.291944;-71.186667;356;0
ANTARES II (ART);CB8832;14/03/2019 00:27:00;-43.058056;-73.491944;4;5.21
EMELINDA (ART);CB3118;14/03/2019 00:27:00;-36.725833;-73.1325;0;0
LAUCA (ART);CA3610;14/03/2019 00:27:00;-36.624444;-72.964444;112;2.508
DON ROBERT (ART);CA2698;14/03/2019 00:26:51;-38.3581;-74.7393;32;8.495
DON JOSE IV (ART)_1322;CB5682;14/03/2019 00:26:43;-36.7301;-73.1288;293;0.603
DON TITO R (ART);CB6575;14/03/2019 00:26:41;-39.2069;-74.9623;309;2.605
TUAREG I (ART);CB8162;14/03/2019 00:26:40;-18.4728;-70.3232;0;0
COYI I (ART);CA5350;14/03/2019 00:26:39;-18.4719;-70.3214;0;0
PETER I (ART-TRP);CB9325;14/03/2019 00:26:24;-53.0956;-70.8747;352;0
PETROHUE II (ART);CB7843;14/03/2019 00:26:14;-18.4725;-70.3208;355;0
DON PEYO I (ART-TRP);CB8940;14/03/2019 00:26:08;-51.7383;-72.5039;0;0
LOBO DE AFUERA IV (ART);CA3433;14/03/2019 00:26:07;-18.4724;-70.3226;0;0
BRYAN ALEJANDRO (ART);CA6493;14/03/2019 00:26:01;-41.867;-73.8327;0;0
MAGDALENA II (ART);CB3050;14/03/2019 00:26:00;-36.711667;-73.113056;0;0
KAREN PAMELA (ART);CA4047;14/03/2019 00:26:00;-18.471667;-70.323611;217;0
DON LINO (ART);CB2026;14/03/2019 00:26:00;-43.121944;-73.624444;89;0
LUIS DAVID II (ART);CA5440;14/03/2019 00:26:00;-38.972222;-75.397222;250;1.808
PIA LICETTY I (ART);CA5601;14/03/2019 00:26:00;-45.158333;-73.518056;46;0
VALENTINA (L/B);CA7237;14/03/2019 00:26:00;-18.470833;-70.323056;18;0
REY DE REYES (ART);CA4170;14/03/2019 00:26:00;-37.601667;-73.6575;330;0
JORGE ANDRES (ART);CA6216;14/03/2019 00:26:00;-37.025833;-73.1575;219;0
NIÑA XIMENA (L/B);CA6685;14/03/2019 00:26:00;-37.027222;-73.16;125;0
AMPARITO I (ART);CB8202;14/03/2019 00:26:00;-36.677222;-73.020833;199;6.609
MAMA EDITH (ART);CA6783;14/03/2019 00:26:00;-37.0275;-73.158056;220;0
OSFRAMA (ART);CA5559;14/03/2019 00:25:56;-39.8356;-73.2593;6;0
DON LUCHO III (ART);CA5091;14/03/2019 00:25:41;-37.0997;-73.1658;314;0.408
ELVA S (ART;CB3120;14/03/2019 00:25:36;-18.4719;-70.3214;0;0
PUNTA TALCA (ART);CB2177;14/03/2019 00:25:27;-29.9521;-71.3354;353;0.505
DON DANIEL I (L/B);CB5201;14/03/2019 00:25:25;-36.7263;-73.1315;343;0.505
STA. ISABEL III (L/B);CB8761;14/03/2019 00:25:15;-51.6056;-75.9791;212;7.503
PETROHUE I (ART);CB7842;14/03/2019 00:25:13;-18.4724;-70.3207;354;0
DON FELIX III (L/B);CA5860;14/03/2019 00:25:12;-41.4974;-72.9858;0;0
FERNANDO ANDRES II (L/B);CB8500;14/03/2019 00:25:00;-33.5836;-71.6146;19;0
YUCATAN (L/B);CA3551;14/03/2019 00:25:00;-38.778889;-75.006389;217;5.501
NOVIA DEL MAR IV (ART);CA5130;14/03/2019 00:25:00;-36.707222;-72.981111;0;0
DON JAIME (ART);CA2276;14/03/2019 00:25:00;-39.247778;-75.020833;154;1.302
DON JULIO (ART);CB7737;14/03/2019 00:25:00;-40.001667;-75.563056;241;0.7
GENESIS ELENA (ART);CB7443;14/03/2019 00:25:00;-37.603611;-73.651944;50;0
MAR PRIMERO (ART);CB8415;14/03/2019 00:24:59;-37.5992;-73.662;189;0
ROYAL BLUE (L/B);CA6676;14/03/2019 00:24:54;-27.0639;-70.8245;298;0.505
TAJAMAR V (ART-TRP);CB8962;14/03/2019 00:24:50;-55.0369;-67.0233;0;0
COYI II (ART);CA5302;14/03/2019 00:24:45;-18.472;-70.3214;0;0
GUAJACHE II (ART);CA2756;14/03/2019 00:24:41;-18.4721;-70.3218;350;0.505
TIBURON B (ART);CB5791;14/03/2019 00:24:40;-41.7871;-73.1495;205;0
VALENCIA (ART);CB2452;14/03/2019 00:24:36;-20.2045;-70.1528;346;0.505
DON ANSELMO II (ART);CB9589;14/03/2019 00:24:18;-37.0985;-73.1668;347;0.991
ARKHOS IV (ART);CA6307;14/03/2019 00:24:05;-18.4716;-70.3224;2;0
FEIDIPIDES (L/B);CB5726;14/03/2019 00:24:00;-39.8337;-73.256;8;0
MARICIA (ART);CB4523;14/03/2019 00:24:00;-36.640833;-73.090556;124;0
SOFIA M (L/B);CA6636;14/03/2019 00:24:00;-40.073056;-75.628056;284;0.797
PATRICIA III (ART);CB3815;14/03/2019 00:24:00;-36.538333;-72.955833;95;0
DON DIONISIO II (ART);CA5286;14/03/2019 00:24:00;-37.026389;-73.159167;3;0
DON ALFONSO II (ART);CB6772;14/03/2019 00:24:00;-41.493056;-72.985;41;0
DON BENJA (ART);CA4314;14/03/2019 00:24:00;-39.978611;-75.595833;37;2.294
KOKALECA III (ART);CA2563;14/03/2019 00:24:00;-42.378889;-73.606944;75;5.307
DOÑA CATALINA (ART);CB4518;14/03/2019 00:24:00;-37.028889;-73.159444;353;0
MARBELLA II (ART);CB6318;14/03/2019 00:24:00;-36.653611;-72.990833;320;3.907
DON MANUEL R (ART);CA3586;14/03/2019 00:24:00;-36.655;-72.994444;17;0.408
MARISELA I (ART);CA4876;14/03/2019 00:24:00;-36.657778;-73.094444;123;0
DON EDUARDO II (ART-TRP);CB8886;14/03/2019 00:24:00;-41.722778;-73.153056;111;0
DON WILLY (ART);CA4495;14/03/2019 00:24:00;-36.638611;-73.091389;218;0
ACUARIO IV (ART);CB3567;14/03/2019 00:24:00;-37.600833;-73.658889;0;0
EL ACUARIO I (ART);CA3606;14/03/2019 00:24:00;-36.727222;-73.133333;186;0
PUERTO BRAVO (ART);CB7625;14/03/2019 00:24:00;-37.603333;-73.6525;42;0
DON FRANCISCO I (ART);CA3074;14/03/2019 00:24:00;-42.039722;-72.598056;223;0
DON NORMA (ART);CB8675;14/03/2019 00:24:00;-36.711944;-73.101389;201;0
DON MATEO I (ART);CA5696;14/03/2019 00:24:00;-37.601389;-73.655833;318;0
DON FERNANDO II (ART);CB6996;14/03/2019 00:24:00;-39.501667;-75.878611;279;1.905
DON ARMANDO (ART);CB3212;14/03/2019 00:24:00;-36.641111;-73.091389;2;0
LIDIA C (ART);CB8129;14/03/2019 00:24:00;-39.061944;-75.124167;246;1.108
NELLY (ART);CB3301;14/03/2019 00:24:00;-37.026667;-73.158056;216;0
JOSE LUIS (ART);CB4969;14/03/2019 00:24:00;-40.003056;-75.7;127;0.894
ODISEO (ART);CB8088;14/03/2019 00:23:59;-18.4717;-70.322;3;0.505
INGRID FERNANDA (ART);CA2921;14/03/2019 00:23:57;-37.6039;-73.6514;182;0
DON ANIBAL (ART);CB3976;14/03/2019 00:23:52;-42.581;-74.3591;2;2.002
ENRIQUE I (TRP);CB5437;14/03/2019 00:23:51;-45.3263;-73.1238;132;6.298
DON NENE (ART);CB5547;14/03/2019 00:23:44;-37.5998;-73.662;0;0
LORETO V (ART);CA5374;14/03/2019 00:23:43;-18.4707;-70.3232;0;0
IGNACIA MONSERRAT (L/B);CA5615;14/03/2019 00:23:37;-35.3387;-72.3985;353;0
ISAURA (ART);CB5051;14/03/2019 00:23:29;-18.4727;-70.3219;9;0
PELICANO (ART);CB2179;14/03/2019 00:23:28;-18.4715;-70.3227;0;0
SANTA MARIA II (L/B);CB3528;14/03/2019 00:23:21;-36.638;-73.0893;8;0.505
GRINGO PABLO II (ART);CB8300;14/03/2019 00:23:20;-18.473;-70.3216;7;0.505
AMADEUS (ART);CA4581;14/03/2019 00:23:17;-18.4724;-70.3232;0;0
YARODAL II (TRP);CA5657;14/03/2019 00:23:17;-53.3601;-69.5405;0;0
SAN FRANCISCO II (ART/TRP);CB9837;14/03/2019 00:23:07;-42.3828;-73.6533;0;0
DON UBALDO H.Q. (ART);CB4148;14/03/2019 00:23:03;-18.4712;-70.3224;340;0.505
J J (ART);CB2506;14/03/2019 00:23:00;-18.4717;-70.3222;241;0
FLOPY I (ART);CA5582;14/03/2019 00:23:00;-46.812778;-75.683333;178;1.691
DON ALFONSO IV (L/B);CA6685;14/03/2019 00:23:00;-39.906111;-75.494722;189;1.594
SARITA II (ART);CB6395;14/03/2019 00:23:00;-36.727222;-73.133611;45;0
KAWESCAR (ART);CB8264;14/03/2019 00:22:59;-18.4713;-70.3232;0;0
DIEGO ESTEBAN (ART);CA5543;14/03/2019 00:22:57;-37.0277;-73.1597;166;0.292
MARIA CECILIA I (L/B);CA4895;14/03/2019 00:22:50;-22.0909;-70.2042;348;0.505
STA. ISABEL I (L/B);CB5705;14/03/2019 00:22:42;-51.296;-75.9616;172;6.492
CHANGO I (ART);CA4154;14/03/2019 00:22:38;-18.4711;-70.3224;348;0.505
CARLOS FABIAN III (ART);CB9406;14/03/2019 00:22:38;-41.4865;-72.977;0;0
DON RAUL M (ART);CB6352;14/03/2019 00:22:36;-18.4724;-70.3227;0;0
SANTA MARGARITA I (L/B);CB2394;14/03/2019 00:22:35;-18.472;-70.323;0;0
ORCA (ART);CB8884;14/03/2019 00:22:35;-42.383;-73.6532;8;0.505
REY SALOMON (ART);CB5545;14/03/2019 00:22:34;-41.7643;-73.1312;166;0
AMADEUS II (ART);CA5192;14/03/2019 00:22:28;-18.4724;-70.3232;0;0
MARCELO RODOLFO (ART);CB6507;14/03/2019 00:22:28;-18.4709;-70.3232;350;0
SANDRITA I (ART);CB6813;14/03/2019 00:22:26;-36.7267;-73.1316;6;0.991
MATIAS NICOLAS (ART);CA5093;14/03/2019 00:22:22;-36.7264;-73.1304;5;0.505
LOBO DE AFUERA V (ART);CA4636;14/03/2019 00:22:17;-18.4724;-70.3226;0;0.505
RUCACH I (ART-TRP);CB8233;14/03/2019 00:22:15;-53.0956;-70.8747;0;0
ANTARES IV (ART);CA2738;14/03/2019 00:22:00;-41.764444;-73.128333;154;0
LUCAS I (ART);CB9299;14/03/2019 00:22:00;-37.026111;-73.157222;132;0
DON NAO (ART);CA2070;14/03/2019 00:22:00;-39.558056;-75.966944;347;5.909
DON JEAN PIERRE (ART);CB8435;14/03/2019 00:22:00;-39.176944;-75.526944;342;1.808
DON RODRIGO B (ART);CA3929;14/03/2019 00:22:00;-37.0275;-73.154167;41;0
DON ULMES (ART);CA3763;14/03/2019 00:22:00;-39.884;-73.427;249;0
ROLANDO (ART);CA3502;14/03/2019 00:22:00;-39.874;-73.384;27;0
PUNTA PICHICUY (ART);CB5095;14/03/2019 00:22:00;-27.061;-70.825;9;0
CHUBASCO I (ART);CB4352;14/03/2019 00:22:00;-27.076;-70.848;355;0
PUNTA DE HUMO (L/B);CB2205;14/03/2019 00:22:00;-29.952;-71.335;354;0
ISAAC II (ART);CA4843;14/03/2019 00:22:00;-39.873;-73.383;335;0
GAROTA V (ART??);CA6799;14/03/2019 00:22:00;-29.968;-71.355;5;0
LONQUIMAY 2 (ART);CB4813;14/03/2019 00:22:00;-27.061;-70.826;35;0
DON CHOLITO (ART);CB6701;14/03/2019 00:22:00;-39.834;-73.257;161;0
ESTRELLA III (ART);CB8576;14/03/2019 00:22:00;-28.097;-71.169;100;0
DON PANCRACIO (ART);CB8165;14/03/2019 00:22:00;-27.533;-71.025;23;6.998
JECHITO VI (L/B);CB3884;14/03/2019 00:22:00;-33.495;-71.819;349;0
MARIA SOLEDAD II (ART);CB9670;14/03/2019 00:22:00;-29.968;-71.354;171;0
DON JOSE MIGUEL (ART);CB3573;14/03/2019 00:22:00;-27.076;-70.848;236;0
EL CID (ART);CB9336;14/03/2019 00:22:00;-28.078;-71.147;242;0
DON JOSE I (ART);CA3693;14/03/2019 00:22:00;-18.472;-70.324;75;0
MASTER (ART);CB6356;14/03/2019 00:22:00;-39.835;-73.258;177;0
DON VICTORINO (ART);CA3496;14/03/2019 00:22:00;-29.969;-71.354;39;0
DON BOSCO (ART);CB6666;14/03/2019 00:22:00;-36.712;-73.113;135;0
FORTUNA IV (ART);CA2841;14/03/2019 00:22:00;-28.294;-71.185;167;0
CLAUDIO I (ART);CB6658;14/03/2019 00:22:00;-39.871;-73.368;75;6.998
FORTUNA V (ART);CA3538;14/03/2019 00:22:00;-28.079;-71.147;221;0
FORTUNA III (ART);CB8070;14/03/2019 00:22:00;-27.063;-70.826;32;0
RAUL M (ART);CA4289;14/03/2019 00:22:00;-37.028;-73.157;353;0
ISLA LLAHUEN (ART);CA3250;14/03/2019 00:22:00;-42.621;-72.854;130;0
PUNTA BRAVA (ART);CA3697;14/03/2019 00:22:00;-39.874;-73.384;350;0
DON LUIS ALBERTO (ART);CB8058;14/03/2019 00:22:00;-36.71;-73.112;282;0
PALMI I (L/B);CB7795;14/03/2019 00:22:00;-41.805;-74.923;179;2.508
ANSELMO I (ART);CB8578;14/03/2019 00:22:00;-36.666;-73.016;4;0
YULIANA ANTONELLA (ART);CA6271;14/03/2019 00:22:00;-27.076;-70.848;278;0
DOÑA CARMELA (ART);CB8749;14/03/2019 00:22:00;-39.835;-73.258;358;0
MISIONERA II (ART) 153076;CB5982;14/03/2019 00:22:00;-36.674;-73.005;244;2.994
NOEMI SIMONEY (ART);CB8653;14/03/2019 00:22:00;-39.835;-73.259;175;0
DON JOAQUIN  (ART);CB5153;14/03/2019 00:22:00;-39.874;-73.383;17;0
SAMARITANO I (ART);CB9955;14/03/2019 00:22:00;-39.874;-73.383;332;0
LINARES (ART);CB8063;14/03/2019 00:22:00;-39.835;-73.258;189;0
AGUILA REAL (ART);CB4161;14/03/2019 00:22:00;-39.855;-73.318;255;7.503
DON JOSE EDGARDO (ART);CB8209;14/03/2019 00:22:00;-27.062;-70.825;133;0
MAIMAU I  (ART);CA4388;14/03/2019 00:22:00;-28.293;-71.185;133;0
GUILLERMO I (ART);CB8894;14/03/2019 00:22:00;-28.2;-71.215;344;1.497
FELIPE EDUARDO (ART);CB7652;14/03/2019 00:22:00;-45.401;-72.703;33;0
AGUILA REAL II (ART);CB4720;14/03/2019 00:22:00;-36.537;-72.954;48;0
PIONERO (ART);CB6548;14/03/2019 00:22:00;-27.124;-70.915;213;0
DON LUIS (ART);CB6500;14/03/2019 00:22:00;-23.094;-70.446;283;0
DOÑA BERNARDA (L/B);CA5416;14/03/2019 00:22:00;-29.952;-71.332;188;0
DOÑA JOVA 2DA (ART);CA4240;14/03/2019 00:22:00;-37.029;-73.158;3;0
RIO VALDIVIA (ART);CB8173;14/03/2019 00:22:00;-39.874;-73.384;214;0
GAROTA II (ART);CA3942;14/03/2019 00:22:00;-29.969;-71.355;99;0
SOFIA MAGDALENA (ART);CA2112;14/03/2019 00:22:00;-27.633;-71.063;26;8.495
MARINA II (ART);CB4360;14/03/2019 00:22:00;-33.584;-71.615;333;0
JUAN MARCELO (ART);CA3544;14/03/2019 00:22:00;-37.028;-73.157;348;0
SOFIA-A (ART);CA4323;14/03/2019 00:22:00;-39.836;-73.259;219;0
RIO JORDAN IV (ART);CB7665;14/03/2019 00:22:00;-37.098;-73.167;14;0
DELFIN 2000 (ART);CB6837;14/03/2019 00:22:00;-29.967;-71.36;252;0
DON HECTOR I (ART);CB4815;14/03/2019 00:22:00;-39.874;-73.384;24;0
JOSE SEBASTIAN (ART);CB9898;14/03/2019 00:22:00;-37.026;-73.155;34;0
RICARDO JESUS (ART);CA4197;14/03/2019 00:22:00;-37.028;-73.16;45;0
RAQUEL I (ART);CB8952;14/03/2019 00:22:00;-28.078;-71.147;306;0
ALBERTO M (ART);CA6190;14/03/2019 00:22:00;-39.874;-73.383;3;0
DON JUAN (ART-TRP);CB9510;14/03/2019 00:22:00;-45.165;-73.524;14;0
DON BENITO II (ART);CB8981;14/03/2019 00:22:00;-28.079;-71.146;30;0
XIMENA I (ART);CB8566;14/03/2019 00:22:00;-37.027;-73.154;0;0
TOME (ART);CB2711;14/03/2019 00:22:00;-36.62;-72.96;335;0
KIMY II (ART);CB7690;14/03/2019 00:22:00;-36.726;-73.131;0;0
ORKA (ART);CB8648;14/03/2019 00:22:00;-39.873;-73.383;3;0
DON ATILIO (ART);CA3559;14/03/2019 00:22:00;-27.924;-71.164;13;6.492
DONCELLA II (ART);CB9807;14/03/2019 00:22:00;-36.715;-73.107;309;0
DON ENZO (ART);CB3484;14/03/2019 00:22:00;-33.585;-71.615;293;0
KALI (ART);CB8951;14/03/2019 00:22:00;-28.078;-71.147;186;0
MARIA PABLA (ART);CA3916;14/03/2019 00:22:00;-29.968;-71.354;198;0
GAROTA III (ART);CA4493;14/03/2019 00:22:00;-29.968;-71.355;140;0
GAROTA IV (ART);CA5832;14/03/2019 00:22:00;-29.969;-71.354;44;0
GAROTA (ART);CB8360;14/03/2019 00:22:00;-29.969;-71.354;276;0
EL CHONO (ART);CB8218;14/03/2019 00:22:00;-45.631;-73.288;71;0
PUNTA MAULE II (ART);CA2323;14/03/2019 00:22:00;-37.026;-73.155;0;0
DON JORGE M (ART);CB4880;14/03/2019 00:22:00;-39.813;-73.232;234;0
EL CHILE (ART);CA3725;14/03/2019 00:22:00;-33.584;-71.615;155;0
DON RAFAEL (ART);CB8339;14/03/2019 00:22:00;-33.584;-71.615;9;0
CONSTITUCION (ART);CB8064;14/03/2019 00:22:00;-39.874;-73.384;327;0
TRINIDAD (ART);CB8949;14/03/2019 00:22:00;-27.125;-70.914;334;0
DON LUIS ALBERTO II (ART);CA3864;14/03/2019 00:21:54;-37.0973;-73.1645;56;0.408
ISAAC (ART);CB8039;14/03/2019 00:21:53;-36.7261;-73.1318;0;0
DOÑA MERCEDES (ART);CB4519;14/03/2019 00:21:51;-23.0923;-70.4464;359;0.097
RIO JORDAN X (ART);CA7673;14/03/2019 00:21:30;-37.0978;-73.1647;270;0
DON FRUCTUOSO (ART);CB7433;14/03/2019 00:21:25;-18.4728;-70.3217;348;0.505
LOBA DE MAR (ART);CB5291;14/03/2019 00:21:19;-37.6031;-73.6531;8;0
MARGOT MARIA (ART-TRP);CB5280;14/03/2019 00:21:18;-53.2089;-70.9388;358;0
GALILEA I (ART);CA3627;14/03/2019 00:21:10;-37.0262;-73.1579;50;0.603
MAR DE ROSS (ART);CB8583;14/03/2019 00:21:07;-41.4873;-72.975;0;0
DON SEBASTIAN (L/B);CA4530;14/03/2019 00:21:04;-39.3977;-73.2148;0;0
SANTA MARIA A (ART);CA3051;14/03/2019 00:21:00;-41.488611;-72.971667;0;0
DON ISAAC (ART);CA3231;14/03/2019 00:21:00;-41.764444;-73.128056;0;0
DOÑA GLADYS II (ART);CA3307;14/03/2019 00:21:00;-37.025278;-73.155556;144;0
CRISTINA (ART);CB7787;14/03/2019 00:21:00;-36.669444;-73.007778;30;0
TURIMAR II (ART);CB7028;14/03/2019 00:21:00;-36.641944;-73.090278;0;0
OCEANI III (ART);CB2594;14/03/2019 00:21:00;-41.773333;-73.389722;158;4.607
ORION IV (ART);CA3426;14/03/2019 00:21:00;-42.358611;-73.570556;139;3.499
ANA MARIA (ART);CA2598;14/03/2019 00:21:00;-37.218056;-73.439722;109;0
JEPE I (ART);CB6827;14/03/2019 00:21:00;-29.9672;-71.3605;282;0
CECILIA III (ART);CB5169;14/03/2019 00:20:59;-36.7264;-73.1314;0;0
EL BELA (ART);CB8059;14/03/2019 00:20:57;-37.0973;-73.167;23;0.603
DON CARLIN I (L/B);CA4559;14/03/2019 00:20:48;-41.4866;-72.9772;142;0
PACIFICO A (TRP);CB3896;14/03/2019 00:20:45;-55.0368;-67.0233;352;0.505
ENRIQUETA (ART);CB4499;14/03/2019 00:20:39;-21.5796;-70.5391;4;6.006
ARKHOS I (ART);CB8235;14/03/2019 00:20:33;-18.4717;-70.3223;356;0.505
CHANGO (ART);CA2065;14/03/2019 00:20:31;-36.712;-73.1122;0;0
